FID	IID	Gender
BFA0001	BFA0001	Female
BFA0015	BFA0015	Female
BFA0023	BFA0023	Female
BFA0043	BFA0043	Male
BFA0050	BFA0050	Female
BFA0054	BFA0054	Male
BFA0057	BFA0057	Male
BFA0058	BFA0058	Male
BFA0072	BFA0072	Male
BFA0085	BFA0085	Male
BFA0094	BFA0094	Male
BFA0109	BFA0109	Female
BFA0116	BFA0116	Male
BFA0120	BFA0120	Male
BFA0122	BFA0122	Male
BFA0140	BFA0140	Male
BFA0141	BFA0141	Female
BFA0149	BFA0149	Male
BFA0151	BFA0151	Male
BFA0157	BFA0157	Male
BFA0159	BFA0159	Female
BFA0166	BFA0166	Male
BFA0167	BFA0167	Male
BFA0173	BFA0173	Male
BFA0199	BFA0199	Female
BFA0202	BFA0202	Female
BFA0213	BFA0213	Male
BFA0216	BFA0216	Female
BFA0220	BFA0220	Male
BFA0230	BFA0230	Male
BFA0236	BFA0236	Male
BFA0239	BFA0239	Female
BFA0250	BFA0250	Male
BFA0256	BFA0256	Female
BFA0264	BFA0264	Male
BFA0271	BFA0271	Female
BFA0275	BFA0275	Female
BFA0291	BFA0291	Male
BFA0610	BFA0610	Male
BFA0618	BFA0618	Female
BFA0620	BFA0620	Male
BFA0630	BFA0630	Female
BFA0636	BFA0636	Female
BFA0637	BFA0637	Female
BFA0643	BFA0643	Female
BFA0650	BFA0650	Male
BFA0656	BFA0656	Female
BFA0685	BFA0685	Male
BFA0693	BFA0693	Female
BFA0694	BFA0694	Female
BFA0717	BFA0717	Male
BFA0720	BFA0720	Female
BFA0725	BFA0725	Male
BFA0732	BFA0732	Male
BFA0736	BFA0736	Female
BFA0745	BFA0745	Female
BFA0747	BFA0747	Male
BFA0753	BFA0753	Female
BFA0754	BFA0754	Male
BFA0760	BFA0760	Female
BFA0769	BFA0769	Female
BFA0779	BFA0779	Male
BFA0785	BFA0785	Male
BFA0790	BFA0790	Female
BFA0794	BFA0794	Male
BFA0798	BFA0798	Female
BFA0806	BFA0806	Male
BFA0807	BFA0807	Male
BFA0810	BFA0810	Male
BFA0818	BFA0818	Male
BFA0823	BFA0823	Male
BFA0824	BFA0824	Male
BFA0828	BFA0828	Female
BFA0837	BFA0837	Female
BFA0847	BFA0847	Female
BFA0855	BFA0855	Female
BFA0315	BFA0315	Male
BFA0327	BFA0327	Male
BFA0328	BFA0328	Female
BFA0331	BFA0331	Female
BFA0336	BFA0336	Male
BFA0339	BFA0339	Male
BFA0345	BFA0345	Male
BFA0351	BFA0351	Male
BFA0353	BFA0353	Female
BFA0356	BFA0356	Female
BFA0358	BFA0358	Female
BFA0373	BFA0373	Female
BFA0377	BFA0377	Male
BFA0385	BFA0385	Female
BFA0391	BFA0391	Male
BFA0393	BFA0393	Female
BFA0404	BFA0404	Female
BFA0412	BFA0412	Female
BFA0415	BFA0415	Female
BFA0417	BFA0417	Male
BFA0423	BFA0423	Female
BFA0424	BFA0424	Female
BFA0433	BFA0433	Male
BFA0437	BFA0437	Female
BFA0444	BFA0444	Male
BFA0450	BFA0450	Female
BFA0455	BFA0455	Male
BFA0471	BFA0471	Male
BFA0472	BFA0472	Male
BFA0482	BFA0482	Male
BFA0485	BFA0485	Female
BFA0494	BFA0494	Male
BFA0499	BFA0499	Female
BFA0514	BFA0514	Male
BFA0515	BFA0515	Female
BFA0521	BFA0521	Male
BFA0542	BFA0542	Female
BFA0557	BFA0557	Male
BFA0559	BFA0559	Male
BFA0561	BFA0561	Female
BFA0568	BFA0568	Male
BFA0573	BFA0573	Female
RBFA0431	RBFA0431	Male
