# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Duplicated	JAFDUU010012798.1	4003130	4094274	-	8788.4	4949	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
64at7898	Duplicated	JAFDUU010013400.1	2637905	2736000	-	8788.4	4949	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	JAFDUU010011495.1	3036102	3109639	-	4785.7	3998
131at7898	Duplicated	JAFDUU010012622.1	274056	335198	-	8281.6	4339	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
131at7898	Duplicated	JAFDUU010013522.1	1393514	1454313	-	8167.3	4308	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	JAFDUU010013424.1	540894	584823	+	8483.5	4064
180at7898	Duplicated	JAFDUU010012660.1	2715100	2990772	+	6609.6	4376	https://www.orthodb.org/v10?query=180at7898	usherin
180at7898	Duplicated	JAFDUU010012695.1	201280	466382	-	6606.5	4376	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	JAFDUU010012946.1	685137	713014	-	8118.8	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	JAFDUU010013447.1	87242	164055	+	5273.5	3218	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	JAFDUU010013458.1	604414	700994	-	6672.5	3068	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	JAFDUU010011537.1	419094	535155	+	7121.0	3770	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Duplicated	JAFDUU010011815.1	1563343	1618560	-	4676.6	2326	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
433at7898	Duplicated	JAFDUU010013336.1	1015838	1071302	-	4676.6	2326	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Duplicated	JAFDUU010013099.1	2356622	2388291	-	4119.9	2766	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
594at7898	Duplicated	JAFDUU010013387.1	1515963	1547633	-	4119.4	2766	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	JAFDUU010011495.1	3688202	3721990	-	3333.5	2420	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Duplicated	JAFDUU010012660.1	1947935	1969829	-	5292.9	3874	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
715at7898	Duplicated	JAFDUU010012784.1	381180	403074	-	5294.1	3874	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	JAFDUU010012393.1	1019067	1193874	+	5078.5	2510	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	JAFDUU010012680.1	2023748	2063561	-	4893.0	2701	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	JAFDUU010012530.1	1125786	1195748	-	5199.0	2562	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Duplicated	JAFDUU010006805.1	517432	534777	-	3385.8	2261	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	JAFDUU010011683.1	1265745	1283090	-	3385.8	2261	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	JAFDUU010012588.1	8922423	8959414	+	3465.0	2282	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	JAFDUU010012879.1	332667	392863	+	3590.3	2299	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	JAFDUU010013522.1	2521832	2562184	-	3478.3	2282	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	JAFDUU010013066.1	507268	648225	-	4677.6	2259	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Duplicated	JAFDUU010011967.1	829450	869345	+	3696.9	2028
1213at7898	Duplicated	JAFDUU010012301.1	1639705	1679092	-	3696.7	2028
1220at7898	Complete	JAFDUU010012729.1	3498920	3513089	-	1739.5	2169	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Duplicated	JAFDUU010012055.1	1568786	1594512	-	2973.3	1837	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1258at7898	Duplicated	JAFDUU010013473.1	26825	52550	-	2976.4	1777	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1262at7898	Complete	JAFDUU010013370.1	3533780	3549988	-	5314.0	2249	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1312at7898	Duplicated	JAFDUU010013052.1	4291396	4363167	-	3132.6	1944	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1312at7898	Duplicated	JAFDUU010013328.1	1345948	1392185	-	2700.7	1620	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1329at7898	Complete	JAFDUU010012588.1	7785097	7812451	-	3581.9	2110	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1401at7898	Complete	JAFDUU010012654.1	581689	647099	-	4165.8	2254	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1502at7898	Complete	JAFDUU010012660.1	3462465	3491870	-	3957.7	2000	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1539at7898	Complete	JAFDUU010012612.1	1989103	2005831	-	3819.3	1940	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1607at7898	Complete	JAFDUU010013438.1	1004258	1063723	-	3135.2	1937	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1664at7898	Duplicated	JAFDUU010012711.1	577831	590147	+	3088.1	2071	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
1664at7898	Duplicated	JAFDUU010013317.1	33476	42547	+	2995.8	1923	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
1667at7898	Complete	JAFDUU010012639.1	5444852	5544863	-	3326.3	1790	https://www.orthodb.org/v10?query=1667at7898	dysferlin isoform X1
