# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	NC_007131.7	34158634	34292284	-	8852.5	4895	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	NC_007120.7	40686378	40844920	-	5059.7	4639
131at7898	Complete	NC_007134.7	21278947	21376363	+	8379.0	4299	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	NC_007128.7	871389	945882	-	7952.7	3901
180at7898	Complete	NC_007128.7	29376856	29771638	-	6653.1	4484	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	NC_007126.7	9370990	9411227	-	8094.3	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Fragmented	NC_007127.7	54355221	54359230	-	326.9	210	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	NC_007123.7	17933774	18104150	+	7460.9	3408	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	NC_007126.7	45008587	45246910	-	6694.5	3643	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	NC_007119.7	26123213	26211038	+	4816.7	2385	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	NC_007112.7	25593800	25648638	-	4017.5	2767	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	NC_007120.7	41746815	41781361	-	3400.1	2614	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	NC_007128.7	30704728	30727754	+	5421.6	3799	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	NC_007126.7	10004015	10340985	-	4823.7	2463	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	NC_007112.7	41295380	41374116	-	4673.0	2619	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	NC_007117.7	16509820	16667885	-	5108.8	2574	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Duplicated	NC_007115.7	10066926	10130345	+	3516.8	2225	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_007122.7	42128554	42292836	-	3558.7	1991	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_007134.7	19759211	19808134	+	3319.4	2203	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_007136.7	35020609	35040596	+	3468.2	2299	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	NC_007119.7	46085413	46317187	-	4805.3	2234	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Complete	NC_007113.7	16384518	16449365	-	3613.9	1974
1220at7898	Complete	NC_007126.7	31913064	31928174	+	1757.3	2046	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	NC_007114.7	53529994	53559171	-	3177.7	1936	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1262at7898	Complete	NC_007126.7	28249544	28261894	-	5188.8	2255	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1312at7898	Complete	NC_007132.7	9387818	9526346	-	3249.2	1923	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1329at7898	Complete	NC_007116.7	41582645	41638038	-	3156.9	1923	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1401at7898	Complete	NC_007119.7	3531968	3643370	+	4322.7	2322	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1502at7898	Complete	NC_007128.7	28675220	28700442	+	4017.9	2081	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1539at7898	Complete	NC_007116.7	63185207	63233215	-	3733.8	1855	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1607at7898	Complete	NC_007136.7	6507190	6629173	-	3102.1	1924	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1664at7898	Complete	NC_007130.7	3386791	3439626	-	3128.3	2130	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
1667at7898	Complete	NC_007118.7	25561156	25693759	-	3300.6	1835	https://www.orthodb.org/v10?query=1667at7898	dysferlin isoform X1
1697at7898	Complete	NC_007116.7	12743784	12804748	+	3693.4	1835	https://www.orthodb.org/v10?query=1697at7898	DNA polymerase epsilon catalytic subunit A
1709at7898	Complete	NC_007122.7	7281205	7306026	-	2934.2	1665	https://www.orthodb.org/v10?query=1709at7898	adenomatous polyposis coli protein 2
1867at7898	Complete	NC_007131.7	32838469	33174898	-	3170.0	1957	https://www.orthodb.org/v10?query=1867at7898	neuroblastoma-amplified sequence
1955at7898	Complete	NC_007124.7	2442840	2498317	+	3218.4	1748	https://www.orthodb.org/v10?query=1955at7898	brefeldin A-inhibited guanine nucleotide-exchange protein 3
2212at7898	Complete	NC_007129.7	7150143	7227726	+	3636.2	2404	https://www.orthodb.org/v10?query=2212at7898	von Willebrand factor
2355at7898	Complete	NC_007126.7	1900157	2010745	-	3468.8	1829	https://www.orthodb.org/v10?query=2355at7898	dedicator of cytokinesis protein 10
2390at7898	Complete	NC_007119.7	51779736	51930825	-	2823.7	1809	https://www.orthodb.org/v10?query=2390at7898	calcineurin-binding protein cabin-1 isoform X1
2421at7898	Complete	NC_007120.7	33158190	33194487	+	3045.4	1847	https://www.orthodb.org/v10?query=2421at7898	Dopey family member 2
2494at7898	Complete	NC_007135.7	15132235	15263023	-	2585.9	1765	https://www.orthodb.org/v10?query=2494at7898	rotatin
2517at7898	Complete	NC_007120.7	34127059	34147914	+	2306.5	1373	https://www.orthodb.org/v10?query=2517at7898	coagulation factor V
2564at7898	Complete	NC_007126.7	5632668	5720582	-	2254.2	1729	https://www.orthodb.org/v10?query=2564at7898	nucleolar pre-ribosomal-associated protein 1
2589at7898	Complete	NC_007124.7	47011661	47175411	+	2968.3	1610	https://www.orthodb.org/v10?query=2589at7898	anaphase-promoting complex subunit 1
2616at7898	Complete	NC_007126.7	16124062	16176126	-	3511.0	1774	https://www.orthodb.org/v10?query=2616at7898	protein KIAA0100 homolog isoform X1
2652at7898	Complete	NC_007124.7	450004	479128	-	3123.0	1646	https://www.orthodb.org/v10?query=2652at7898	HEAT repeat-containing protein 5B
2721at7898	Complete	NC_007135.7	21191593	21201979	+	1545.2	1529	https://www.orthodb.org/v10?query=2721at7898	Upstream transcription factor family member 3
2731at7898	Duplicated	NC_007116.7	40220142	40249002	+	2957.7	1823	https://www.orthodb.org/v10?query=2731at7898	chondroitin sulfate proteoglycan 4-like
2731at7898	Duplicated	NC_007121.7	9105370	9126425	-	2701.8	2054	https://www.orthodb.org/v10?query=2731at7898	chondroitin sulfate proteoglycan 4-like
2748at7898	Complete	NC_007131.7	42551316	42556949	+	1759.1	1276	https://www.orthodb.org/v10?query=2748at7898	tudor domain-containing protein 15
2763at7898	Complete	NC_007129.7	12236223	12268156	-	3288.9	1728	https://www.orthodb.org/v10?query=2763at7898	nuclear pore complex protein Nup205
2857at7898	Complete	NC_007134.7	28958918	29065154	-	2894.1	1587	https://www.orthodb.org/v10?query=2857at7898	zinc finger protein castor homolog 1 isoform X1
2862at7898	Complete	NC_007127.7	25030077	25038068	+	1449.3	1742
3036at7898	Missing
3037at7898	Fragmented	NC_007118.7	71850494	71995837	+	1852.1	1132	https://www.orthodb.org/v10?query=3037at7898	low-density lipoprotein receptor-related protein 4
3098at7898	Duplicated	NC_007113.7	12349954	12405205	+	1715.1	1180
3098at7898	Duplicated	NC_007135.7	6514034	6548191	-	1758.0	1225
3133at7898	Complete	NC_007131.7	38837646	38900119	+	2786.3	1513	https://www.orthodb.org/v10?query=3133at7898	Intraflagellar transport 172
3278at7898	Complete	NC_007118.7	61054471	61172228	+	3246.0	1557
3359at7898	Complete	NC_007116.7	66433571	66512304	+	2870.7	1893	https://www.orthodb.org/v10?query=3359at7898	kinetochore-associated protein 1
3551at7898	Complete	NC_007120.7	31589541	31742379	-	2832.0	1482	https://www.orthodb.org/v10?query=3551at7898	sodium leak channel non-selective protein
3552at7898	Complete	NC_007123.7	30586857	30617607	+	2726.5	1640
3601at7898	Complete	NC_007134.7	29401779	29502286	-	2692.6	1451	https://www.orthodb.org/v10?query=3601at7898	kinesin-like protein KIF1B isoform X1
3636at7898	Complete	NC_007112.7	19563509	19598438	-	2943.9	1575	https://www.orthodb.org/v10?query=3636at7898	proteasome-associated protein ECM29 homolog
3668at7898	Complete	NC_007136.7	30316838	30337552	+	1508.9	1459	https://www.orthodb.org/v10?query=3668at7898	treslin isoform X1
3678at7898	Complete	NC_007131.7	23947569	23955864	+	1010.9	1870	https://www.orthodb.org/v10?query=3678at7898	CASP8-associated protein 2
3802at7898	Complete	NC_007120.7	7733441	7772889	+	1450.5	1182	https://www.orthodb.org/v10?query=3802at7898	cilia- and flagella-associated protein 65
3849at7898	Complete	NC_007132.7	4541097	4606382	+	2741.0	1491	https://www.orthodb.org/v10?query=3849at7898	nucleoporin NUP188 homolog
3878at7898	Complete	NC_007116.7	51848844	51881395	+	1619.2	1236	https://www.orthodb.org/v10?query=3878at7898	cardiomyopathy-associated protein 5
3909at7898	Complete	NC_007125.7	16151747	16210771	+	2498.1	1392	https://www.orthodb.org/v10?query=3909at7898	DNA-directed RNA polymerase I subunit RPA1
4012at7898	Complete	NC_007126.7	26554731	26568277	-	3089.0	1681	https://www.orthodb.org/v10?query=4012at7898	WD repeat-containing protein 81
4029at7898	Complete	NC_007128.7	14798444	14876731	-	2079.3	1426	https://www.orthodb.org/v10?query=4029at7898	nidogen-2 isoform X1
