# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	Chr20	22114764	22206648	-	8850.2	4949	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	Chr09	27300606	27374535	-	4825.1	4140
131at7898	Complete	Chr23	17851388	17913080	-	8269.0	4339	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	Chr17	98781	142707	-	8502.5	4064
180at7898	Complete	Chr17	19223484	19491196	-	6602.4	4375	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	Chr15	12313287	12341296	+	8112.8	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	Chr16	77511	154522	+	5226.6	3238	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	Chr12	18994129	19089254	-	7553.6	3452	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	Chr15	36336029	36448228	-	7077.8	3795	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	Chr08	19165242	19220805	-	4675.5	2326	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	Chr01	32930006	32961672	+	4114.6	2766	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	Chr09	27956557	27990375	-	3331.4	2420	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	Chr17	20218587	20240480	+	5293.1	3843	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	Chr15	11983808	12158285	+	5078.0	2510	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	Chr01	22958461	22998382	+	4893.0	2701	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	Chr06	11048728	11118729	-	5193.0	2562	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Duplicated	Chr04	39130445	39190804	-	3590.3	2299	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	Chr11	14832002	14939620	+	4067.0	2255	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	Chr23	18956932	18994019	-	3465.0	2282	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	Chr08	2171523	2314196	-	4751.7	2259	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Complete	Chr02	13190119	13229560	+	3676.1	2028
1220at7898	Complete	Chr15	28076430	28090601	+	1738.4	2183	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	Chr03	6994887	7020614	-	2977.7	1838	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1262at7898	Complete	Chr15	25164838	25181021	-	5309.5	2249	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1312at7898	Complete	Chr21	24952848	25025009	+	3204.6	1910	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1329at7898	Complete	Chr05	20794145	20821504	+	3580.2	2110	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1401at7898	Complete	Chr08	33978783	34047491	+	4167.6	2254	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1502at7898	Complete	Chr17	18725724	18755173	+	3959.0	2007	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1539at7898	Complete	Chr05	12859020	12875729	-	3818.7	1940	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1607at7898	Complete	Chr25	23043898	23102403	+	3137.4	1937	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1664at7898	Complete	Chr19	27635891	27648168	-	3088.1	2071	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
1667at7898	Complete	Chr07	35393282	35492219	+	3328.3	1790	https://www.orthodb.org/v10?query=1667at7898	dysferlin isoform X1
