# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	CM022804.1	21434498	21539304	-	8850.7	4917	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	CM022818.1	9211708	9289594	+	4640.6	3872
131at7898	Complete	CM022807.1	17120008	17170596	-	8232.4	4235	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	CM022801.1	159307	211513	-	8261.1	4024
180at7898	Complete	CM022801.1	16615943	16834393	-	6681.5	4490	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	CM022799.1	8450616	8474164	+	8105.8	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	CM022800.1	149725	278179	+	5158.3	3240	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	CM022796.1	17576756	17659074	-	7417.9	3417	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	CM022799.1	28763223	28855888	-	6601.9	3736	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	CM022817.1	14930679	14973998	-	4647.4	2363	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	CM022810.1	30012048	30047312	+	3988.3	2723	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	CM022818.1	8718641	8749875	+	3629.9	2653	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	CM022801.1	17480688	17500900	+	5354.0	3810	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	CM022799.1	8159178	8327202	+	4779.7	2408	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	CM022810.1	19630458	19680372	+	4731.1	2693	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	CM022815.1	10449864	10492519	-	5032.7	2520	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Complete	CM022795.1	26118262	26206889	-	4199.8	2221	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	CM022817.1	2354350	2494486	-	4898.7	2258	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Complete	CM022811.1	13419973	13443965	+	3853.4	2118
1220at7898	Complete	CM022799.1	21455117	21466841	+	1641.5	1998	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Missing
1262at7898	Complete	CM022799.1	18684948	18697502	-	5246.8	2269	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1312at7898	Complete	CM022805.1	23195799	23257691	+	3295.4	1927	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1329at7898	Complete	CM022814.1	13103883	13128827	+	3510.8	2078	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1401at7898	Complete	CM022817.1	26545597	26593934	-	4149.6	2285	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1502at7898	Complete	CM022801.1	16188756	16218672	+	4202.0	2129	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1539at7898	Complete	CM022814.1	6149663	6164351	-	3719.7	1888	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1607at7898	Complete	CM022809.1	6259002	6310631	-	3102.1	1921	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1664at7898	Complete	CM022803.1	24912764	24925287	-	3088.0	2027	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
1667at7898	Complete	CM022816.1	33753736	33827248	+	3352.9	1809	https://www.orthodb.org/v10?query=1667at7898	dysferlin isoform X1
