# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	WIOS01000004.1	10482620	10559393	+	8713.5	4836	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	WIOS01000015.1	8967	100048	-	4721.7	3938
131at7898	Complete	WIOS01000006.1	20143207	20191520	+	8394.6	4289	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	WIOS01000015.1	7729025	7778920	+	8713.5	4093
180at7898	Complete	WIOS01000001.1	19249086	19441569	+	6559.5	4412	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	WIOS01000016.1	38865	95643	+	8070.9	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	WIOS01000032.1	396676	495419	-	5126.3	3263	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	WIOS01000030.1	676258	817773	+	7074.5	3417	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	WIOS01000082.1	2033345	2131691	-	5852.8	3192	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	WIOS01000001.1	47977521	48027751	+	4249.2	2212	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	WIOS01000010.1	18695247	18745855	-	4078.0	2761	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	WIOS01000015.1	878789	913081	-	3378.9	2641	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	WIOS01000001.1	18678526	18699259	-	5301.1	3749	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	WIOS01000020.1	1265594	1460010	+	5009.3	2504	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	WIOS01000010.1	10123002	10167002	+	4371.7	2587	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	WIOS01000007.1	16301920	16376721	-	4425.4	2434	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Complete	WIOS01000018.1	15502186	15591851	+	4299.0	2291	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	WIOS01000020.1	14528311	14854960	-	4828.4	2268	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Complete	WIOS01000002.1	6641521	6667464	+	3476.1	1959
1220at7898	Complete	WIOS01000016.1	11429745	11443091	+	1733.6	2030	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	WIOS01000003.1	34468060	34502437	+	2983.2	1790	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1262at7898	Complete	WIOS01000111.1	126689	138849	+	5333.5	2286	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1312at7898	Complete	WIOS01000001.1	25670846	25727547	+	3226.6	1953	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1329at7898	Duplicated	WIOS01000003.1	28387089	28411378	-	3381.7	2070	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1329at7898	Duplicated	WIOS01000003.1	28561023	28591539	+	3427.0	2071	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1401at7898	Complete	WIOS01000003.1	30341055	30401742	-	4127.0	2276	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1502at7898	Complete	WIOS01000001.1	3783597	3807749	-	4229.0	2121	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1539at7898	Complete	WIOS01000009.1	5254408	5284041	+	3830.0	1904	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1607at7898	Complete	WIOS01000015.1	12470480	12502424	-	2834.8	1803	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1664at7898	Complete	WIOS01000023.1	12055062	12069769	+	3018.3	1950	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
1667at7898	Complete	WIOS01000011.1	5753224	5822895	-	3286.6	1820	https://www.orthodb.org/v10?query=1667at7898	dysferlin isoform X1
1697at7898	Complete	WIOS01000008.1	2083087	2111307	+	3854.5	1870	https://www.orthodb.org/v10?query=1697at7898	DNA polymerase epsilon catalytic subunit A
1709at7898	Fragmented	WIOS01000062.1	3842208	3883344	+	2402.7	1404	https://www.orthodb.org/v10?query=1709at7898	adenomatous polyposis coli protein 2
1867at7898	Complete	WIOS01000004.1	10667305	10819546	-	3346.7	2023	https://www.orthodb.org/v10?query=1867at7898	neuroblastoma-amplified sequence
1955at7898	Complete	WIOS01000036.1	4667832	4731332	+	3206.2	1789	https://www.orthodb.org/v10?query=1955at7898	brefeldin A-inhibited guanine nucleotide-exchange protein 3
2212at7898	Complete	WIOS01000066.1	2778718	2845377	+	3503.5	2379	https://www.orthodb.org/v10?query=2212at7898	von Willebrand factor
2355at7898	Complete	WIOS01000068.1	1655555	1884160	-	3326.4	1823	https://www.orthodb.org/v10?query=2355at7898	dedicator of cytokinesis protein 10
2390at7898	Complete	WIOS01000019.1	7462041	7610304	+	2553.7	1733	https://www.orthodb.org/v10?query=2390at7898	calcineurin-binding protein cabin-1 isoform X1
2421at7898	Complete	WIOS01000006.1	12901041	12933435	+	3024.9	1844	https://www.orthodb.org/v10?query=2421at7898	Dopey family member 2
2494at7898	Complete	WIOS01000013.1	13545719	13599094	-	2559.3	1755	https://www.orthodb.org/v10?query=2494at7898	rotatin
2517at7898	Complete	WIOS01000002.1	19153244	19169377	-	2285.4	1355	https://www.orthodb.org/v10?query=2517at7898	coagulation factor V
2564at7898	Complete	WIOS01000065.1	3272499	3320046	-	2042.0	1490	https://www.orthodb.org/v10?query=2564at7898	nucleolar pre-ribosomal-associated protein 1
