# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Duplicated	NC_056591.1	18287332	18375082	-	8643.4	4928	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
64at7898	Duplicated	NC_056616.1	19611556	19685096	-	9220.6	4960	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Duplicated	NC_056580.1	22621624	22686678	-	4694.6	3705
116at7898	Duplicated	NC_056605.1	24916391	24977128	-	4926.8	3696
131at7898	Duplicated	NC_056594.1	10852327	10898147	+	8412.5	4321	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
131at7898	Duplicated	NC_056619.1	13594576	13641925	+	7990.8	4254	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	NC_056588.1	606080	643763	+	8457.9	3996
180at7898	Complete	NC_056588.1	13794598	13988374	-	6398.2	4387	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Duplicated	NC_056586.1	9543401	9578173	-	8049.3	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
301at7898	Duplicated	NC_056611.1	9322594	9349766	+	7995.9	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	NC_056587.1	23466764	23520835	-	3328.7	2184	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Duplicated	NC_056583.1	10330908	10402814	+	7386.3	3416	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
408at7898	Duplicated	NC_056608.1	10735470	10814942	+	7255.8	3409	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	NC_056586.1	24507171	24568096	+	5013.3	3133	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Duplicated	NC_056579.1	12847845	12886928	+	4724.7	2383	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
433at7898	Duplicated	NC_056604.1	12891762	12928902	+	4668.4	2344	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	NC_056597.1	3555116	3594580	-	3897.1	2702	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Duplicated	NC_056580.1	23112842	23141112	-	3532.0	2617	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
707at7898	Duplicated	NC_056605.1	25384164	25412207	-	3592.4	2675	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	NC_056613.1	15894062	15912755	+	5297.2	3842	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Duplicated	NC_056586.1	9691625	9845160	-	5047.3	2486	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
716at7898	Duplicated	NC_056611.1	9052772	9207860	+	4770.5	2459	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Duplicated	NC_056572.1	25456921	25497011	-	4722.9	2715	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
832at7898	Duplicated	NC_056597.1	11962438	12005449	-	4777.0	2724	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	NC_056602.1	10530232	10573599	-	5119.6	2592	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Duplicated	NC_056575.1	7213611	7261835	+	3496.2	2271	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_056582.1	23281362	23368507	-	3838.5	2286	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_056594.1	10101241	10138775	+	3450.4	2329	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_056600.1	7456794	7506233	+	3606.4	2340	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_056607.1	22142399	22236083	-	4035.5	2236	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_056621.1	21950110	21969840	-	3489.3	2325	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	NC_056579.1	24281778	24538959	+	4783.2	2260	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Complete	NC_056573.1	9121949	9145503	+	3591.5	1909
1220at7898	Duplicated	NC_056586.1	19190767	19202744	+	1807.8	2195	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1220at7898	Duplicated	NC_056611.1	21271348	21282948	+	1714.8	2114	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	NC_056599.1	12532425	12560498	+	2957.1	1759	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1262at7898	Duplicated	NC_056586.1	17542075	17553531	-	5507.4	2286	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1262at7898	Duplicated	NC_056611.1	19311699	19323692	-	5441.2	2291	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1312at7898	Duplicated	NC_056592.1	5326092	5384895	-	3138.9	1935	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1312at7898	Duplicated	NC_056617.1	5828233	5886728	-	3193.7	1949	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1329at7898	Duplicated	NC_056576.1	24302865	24325566	-	3513.7	2110	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1329at7898	Duplicated	NC_056601.1	13412348	13439008	+	3534.8	2060	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1401at7898	Duplicated	NC_056579.1	2883748	2931281	+	3909.9	2250	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1401at7898	Duplicated	NC_056604.1	3456676	3507711	+	3634.5	2119	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1502at7898	Duplicated	NC_056588.1	28504853	28530045	+	4211.0	2125	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1502at7898	Duplicated	NC_056613.1	14753215	14778783	+	4325.8	2113	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1539at7898	Duplicated	NC_056576.1	29629638	29644009	+	3737.4	1939	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1539at7898	Duplicated	NC_056601.1	20186032	20199324	+	3772.9	1935	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1607at7898	Duplicated	NC_056596.1	4051439	4096450	-	2989.4	1899	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1607at7898	Duplicated	NC_056621.1	6413181	6462857	-	3099.8	1938	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1664at7898	Duplicated	NC_056590.1	9804160	9816702	+	3032.8	2024	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
