# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Duplicated	NW_015505439.1	1022838	1105497	+	7834.5	4453	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
64at7898	Duplicated	NW_015505652.1	2211261	2292906	+	8728.9	4956	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	NW_015505499.1	101121	164293	-	4884.8	3786
131at7898	Duplicated	NW_015505316.1	2444871	2514296	-	8362.4	4161	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
131at7898	Duplicated	NW_015505349.1	1095155	1149496	-	8052.1	4154	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Duplicated	NW_015506429.1	300414	359934	+	6889.6	3402
171at7898	Duplicated	NW_015507049.1	78649	126380	-	7765.0	3760
180at7898	Complete	NW_015505183.1	139945	363322	+	6785.3	4476	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Duplicated	NW_015505350.1	1984919	2011870	+	8050.3	4014	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
301at7898	Duplicated	NW_015505969.1	208622	252417	-	8107.1	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	NW_015505366.1	1257160	1356152	-	3852.7	2461	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Duplicated	NW_015505236.1	1944464	2025855	-	5392.2	2603	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
408at7898	Duplicated	NW_015505359.1	882909	972268	+	5905.1	2842	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Missing
433at7898	Duplicated	NW_015505325.1	927844	972761	-	4797.2	2397	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
433at7898	Duplicated	NW_015505749.1	534834	577850	-	4497.0	2249	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	NW_015505467.1	706887	747358	+	4129.4	2764	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Duplicated	NW_015505236.1	3507568	3535671	+	3354.3	2502	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
707at7898	Duplicated	NW_015505499.1	652331	681418	-	3496.7	2546	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	NW_015506050.1	67104	90524	+	5268.4	3844	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Duplicated	NW_015505350.1	1663084	1841813	+	4573.7	2372	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
716at7898	Duplicated	NW_015505969.1	411543	608108	-	4808.4	2465	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Duplicated	NW_015505196.1	3793101	3840706	-	4607.2	2676	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
832at7898	Duplicated	NW_015505750.1	121714	174882	+	4780.1	2693	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	NW_015505259.1	450467	509819	-	4676.3	2458	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Duplicated	NW_015505212.1	3742117	3797856	+	3494.1	2227	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NW_015505330.1	569369	621235	-	3598.9	2294	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NW_015505408.1	883993	999635	-	3513.4	2041	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NW_015505722.1	1575149	1594999	-	3491.4	2326	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NW_015505780.1	139998	199089	-	3956.6	2133	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NW_015506615.1	170184	209343	+	3507.4	2289	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Duplicated	NW_015505373.1	126545	263711	+	4891.5	2259	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
