# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	NC_039262.1	7541680	7626347	+	8718.8	4937	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Duplicated	NC_039251.1	11479452	11540713	+	4743.2	3991
116at7898	Duplicated	NC_039276.1	6325987	6387673	+	4958.8	4048
131at7898	Duplicated	NC_039298.1	4944277	4990316	+	8480.7	4338	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
131at7898	Duplicated	NW_020523286.1	409327	455226	+	8554.0	4302	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Duplicated	NW_020524510.1	103411	158093	-	8694.7	4120
171at7898	Duplicated	NW_020524535.1	68267	106614	+	8655.3	4111
171at7898	Duplicated	NW_020528634.1	91735	125574	-	8623.9	4144
180at7898	Complete	NW_020528631.1	59684	260045	+	6812.7	4397	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	NC_039257.1	18139000	18165825	-	8081.5	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	NC_039283.1	26211711	26290371	+	4140.4	2588	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Duplicated	NC_039254.1	9649173	9721958	-	7664.0	3529	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
408at7898	Duplicated	NC_039279.1	12520810	12592414	+	7332.9	3454	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	NC_039282.1	19604951	19671762	+	6421.4	3692	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Duplicated	NC_039250.1	10854942	10892341	-	4562.5	2326	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
433at7898	Duplicated	NW_020525923.1	20699	58889	+	4595.8	2321	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
433at7898	Duplicated	NW_020527982.1	806781	844338	+	4568.5	2322	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Duplicated	NC_039252.1	10939753	11012102	+	1709.0	2286	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
594at7898	Duplicated	NC_039257.1	4285695	4372926	-	1696.8	2168	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
594at7898	Duplicated	NC_039277.1	9527757	9605031	-	1644.6	2116	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
594at7898	Duplicated	NC_039282.1	13633280	13728773	+	1728.1	2185	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Duplicated	NC_039251.1	11007134	11034208	+	3608.7	2703	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
707at7898	Duplicated	NC_039276.1	5910259	5936801	+	3369.8	2520	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	NC_039259.1	17894845	17913562	+	5299.8	3843	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Duplicated	NC_039257.1	18344206	18500198	-	4950.2	2504	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
716at7898	Duplicated	NC_039282.1	11548078	11697308	+	4803.1	2427	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Duplicated	NC_039243.1	14024450	14061205	+	4657.9	2682	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
832at7898	Duplicated	NW_020528509.1	175400	212577	+	4701.4	2689	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	NC_039248.1	11969879	12021022	+	5030.6	2609	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Complete	NC_039278.1	16543249	16621236	-	4278.3	2298	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	NW_020528434.1	12823	165273	-	4653.0	2167	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Complete	NC_039244.1	11209809	11231886	+	3556.5	2087
1220at7898	Complete	NC_039257.1	4415334	4429528	-	1645.0	1946	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	NC_039245.1	113058	141487	+	2963.0	1862	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
