# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Duplicated	NW_015661612.1	2279105	2373126	-	8901.8	4956	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
64at7898	Duplicated	NW_015666487.1	1219071	1309072	+	8926.9	4871	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Duplicated	NW_015631726.1	1433957	1499141	-	4770.6	3827
116at7898	Duplicated	NW_015652285.1	78230	159180	-	4819.7	3787
131at7898	Duplicated	NW_015628351.1	3015877	3067165	-	8214.3	4178	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
131at7898	Duplicated	NW_015651146.1	289349	339448	-	7715.5	4049	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	NW_015666180.1	93942	155957	-	8061.9	3889
180at7898	Complete	NW_015666800.1	2561644	2768672	+	6804.0	4488	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	NW_015660490.1	123644	162377	+	8123.7	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	NW_015634025.1	498382	604170	-	4668.8	3171	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Duplicated	NW_015659953.1	355318	437950	+	7037.0	3287	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
408at7898	Duplicated	NW_015670386.1	26135	112229	+	7161.1	3346	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	NW_015660885.1	267036	362228	-	6674.6	3600	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Duplicated	NW_015650373.1	872891	916288	-	4308.5	2265	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
433at7898	Duplicated	NW_015654522.1	137752	178693	+	4489.1	2242	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	NW_015634513.1	1252654	1291955	-	4336.1	2921	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	NW_015663506.1	343587	375047	+	3539.7	2661	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	NW_015656153.1	696495	715056	-	4995.0	3649	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Duplicated	NW_015630423.1	327663	508566	-	4827.5	2433	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
716at7898	Duplicated	NW_015658652.1	28903	205159	-	4797.1	2441	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Duplicated	NW_015625211.1	188733	237874	+	4775.8	2657	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
832at7898	Duplicated	NW_015652266.1	140729	187656	+	4245.4	2447	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Duplicated	NW_015648045.1	361335	421532	-	4881.4	2496	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
892at7898	Duplicated	NW_015667018.1	46481	104648	-	4542.1	2313	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Duplicated	NW_015625021.1	787409	887148	-	4003.8	2217	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NW_015651498.1	804493	898821	-	4258.0	2343	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Duplicated	NW_015629500.1	31457	192432	-	4739.2	2199	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1144at7898	Duplicated	NW_015662191.1	13949	146749	-	4813.3	2266	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Duplicated	NW_015649561.1	160322	198334	+	3034.1	1869
1213at7898	Duplicated	NW_015666593.1	300454	331880	-	3520.8	2072
1220at7898	Duplicated	NW_015625577.1	2126455	2139628	-	1704.1	2012	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1220at7898	Duplicated	NW_015625590.1	222597	235047	-	1659.2	2153	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	NW_015650001.1	2703802	2738841	-	2966.8	1734	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1262at7898	Duplicated	NW_015625590.1	2306932	2331999	+	5294.6	2230	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1262at7898	Duplicated	NW_015633186.1	340236	353820	+	5296.6	2291	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1312at7898	Duplicated	NW_015630351.1	854943	916668	-	3067.0	1895	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1312at7898	Duplicated	NW_015637541.1	600617	692144	+	3201.7	1912	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1329at7898	Duplicated	NW_015635305.1	1531890	1558178	-	3498.9	2111	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1329at7898	Duplicated	NW_015647052.1	885585	909917	-	3277.2	1998	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1401at7898	Duplicated	NW_015641045.1	707861	780356	+	3502.2	2013	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1401at7898	Duplicated	NW_015659922.1	7387	61992	+	4080.9	2295	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1502at7898	Duplicated	NW_015656156.1	389128	419193	+	4239.7	2121	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1502at7898	Duplicated	NW_015666800.1	3196788	3225063	-	4338.9	2123	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1539at7898	Duplicated	NW_015630979.1	776513	792554	+	3692.9	1906	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1539at7898	Duplicated	NW_015665038.1	506584	521068	-	3879.1	1905	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1607at7898	Duplicated	NW_015627373.1	356025	424009	+	3113.1	1923	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1607at7898	Duplicated	NW_015629053.1	183356	233535	+	3131.5	1921	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1664at7898	Duplicated	NW_015629503.1	279299	291812	+	3079.9	2020	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
1664at7898	Duplicated	NW_015668442.1	225081	237440	-	3195.7	2035	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
1667at7898	Duplicated	NW_015638568.1	312669	411949	+	3229.4	1767	https://www.orthodb.org/v10?query=1667at7898	dysferlin isoform X1
1667at7898	Duplicated	NW_015638975.1	3774129	3845819	+	3267.2	1798	https://www.orthodb.org/v10?query=1667at7898	dysferlin isoform X1
1697at7898	Complete	NW_015642448.1	387337	418054	+	3842.8	1846	https://www.orthodb.org/v10?query=1697at7898	DNA polymerase epsilon catalytic subunit A
1709at7898	Duplicated	NW_015634043.1	1198760	1218476	+	2887.6	1666	https://www.orthodb.org/v10?query=1709at7898	adenomatous polyposis coli protein 2
1709at7898	Duplicated	NW_015649239.1	42915	61846	-	2930.1	1668	https://www.orthodb.org/v10?query=1709at7898	adenomatous polyposis coli protein 2
1867at7898	Complete	NW_015661612.1	1593185	1738399	-	3125.3	1980	https://www.orthodb.org/v10?query=1867at7898	neuroblastoma-amplified sequence
1955at7898	Duplicated	NW_015625574.1	1024373	1097909	+	3147.0	1714	https://www.orthodb.org/v10?query=1955at7898	brefeldin A-inhibited guanine nucleotide-exchange protein 3
1955at7898	Duplicated	NW_015650700.1	307937	388931	-	3240.0	1824	https://www.orthodb.org/v10?query=1955at7898	brefeldin A-inhibited guanine nucleotide-exchange protein 3
2212at7898	Complete	NW_015627890.1	2974582	3019844	+	2934.3	2052	https://www.orthodb.org/v10?query=2212at7898	von Willebrand factor
2355at7898	Complete	NW_015662616.1	93578	137923	-	2919.0	1575	https://www.orthodb.org/v10?query=2355at7898	dedicator of cytokinesis protein 10
2390at7898	Duplicated	NW_015636528.1	352582	463926	+	2767.1	1739	https://www.orthodb.org/v10?query=2390at7898	calcineurin-binding protein cabin-1 isoform X1
2390at7898	Duplicated	NW_015657491.1	735795	849095	+	2746.6	1677	https://www.orthodb.org/v10?query=2390at7898	calcineurin-binding protein cabin-1 isoform X1
2421at7898	Duplicated	NW_015636845.1	1864129	1884753	-	3080.3	1856	https://www.orthodb.org/v10?query=2421at7898	Dopey family member 2
