# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	CM017910.1	7031339	7095719	+	8617.0	4981	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	CM017902.1	5567296	5630430	+	4302.5	4057
131at7898	Complete	CM017912.1	14987829	15025819	+	8463.3	4314	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	CM017907.1	22958630	22989051	+	8304.6	4011
180at7898	Complete	CM017907.1	10017838	10218906	-	6598.4	4457	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	CM017917.1	21064059	21084705	+	8027.4	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	CM017916.1	295784	354750	+	3788.2	2571	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	CM017893.1	13193399	13263937	-	7527.2	3488	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	CM017917.1	22990693	23051901	-	6849.2	3777	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	CM017904.1	12780851	12820098	-	4652.2	2390	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	CM017896.1	20154850	20189250	+	3706.3	2706	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	CM017902.1	5195191	5217793	+	3351.0	2558	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	CM017907.1	10779171	10802868	+	5141.8	3776	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	CM017917.1	20342326	20486573	+	4776.0	2474	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	CM017896.1	12659341	12697470	+	4494.9	2588	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	CM017905.1	17712783	17755906	+	5050.1	2601	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Duplicated	CM017897.1	4385611	4424218	+	3562.5	2276	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	CM017911.1	3301956	3362485	-	4185.4	2296	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	CM017904.1	1860350	1942662	+	4734.7	2211	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Complete	CM017899.1	19097347	19116747	+	3517.9	2003
1220at7898	Complete	CM017917.1	15582332	15595560	+	1553.6	1866	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	CM017913.1	6697077	6723593	+	3159.8	1978	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
