# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Duplicated	NW_015544175.1	1899618	1992234	-	8814.3	4918	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
64at7898	Duplicated	NW_015545562.1	1210226	1294693	+	8808.6	4928	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Duplicated	NW_015549577.1	1602798	1676689	+	4731.7	3801
116at7898	Duplicated	NW_015549703.1	856873	919209	+	4920.1	3855
131at7898	Duplicated	NW_015540838.1	253699	303650	+	8236.1	4316	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
131at7898	Duplicated	NW_015547678.1	1361333	1418393	-	8490.3	4255	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	NW_015539822.1	562036	623056	+	7966.7	3777
180at7898	Duplicated	NW_015536531.1	1987	174670	+	4291.0	2855	https://www.orthodb.org/v10?query=180at7898	usherin
180at7898	Duplicated	NW_015544247.1	1538517	1777288	-	4660.2	3957	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Duplicated	NW_015537972.1	422383	448461	-	8082.6	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
301at7898	Duplicated	NW_015546074.1	1484030	1528885	+	8099.4	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	NW_015555708.1	4392	117288	+	4375.1	2910	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Duplicated	NW_015546075.1	193745	281567	+	7172.2	3391	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
408at7898	Duplicated	NW_015554086.1	812729	906127	+	7137.7	3393	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	NW_015540937.1	223610	327406	-	6954.3	3735	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Duplicated	NW_015538026.1	1544435	1588899	+	4783.3	2383	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
433at7898	Duplicated	NW_015554102.1	2236438	2277932	-	4474.8	2300	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	NW_015536535.1	1127110	1169234	+	4065.3	2706	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
