# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	NC_056718.1	17706201	17772506	-	8837.4	4952	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	NC_056707.1	19569945	19633616	-	4744.9	3668
131at7898	Complete	NC_056721.1	12450300	12489707	+	8319.3	4296	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	NW_025048164.1	1383142	1422226	+	8304.4	4071
180at7898	Complete	NC_056715.1	11144922	11318693	-	6719.0	4477	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	NC_056713.1	943686	964305	+	8016.7	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	NC_056712.1	26424233	26513492	-	5116.4	3256	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	NC_056710.1	7903159	7970559	+	7573.0	3469	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	NC_056713.1	23123938	23204747	-	6787.7	3742	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	NC_056706.1	12692015	12728608	+	4819.2	2381	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	NC_056699.1	14556716	14582038	-	4174.6	2763	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	NC_056707.1	20000797	20027077	-	3630.9	2712	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	NC_056715.1	11821856	11840395	+	5153.9	3791	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	NC_056713.1	708051	853187	+	4242.3	2287	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	NC_056699.1	20035401	20063834	-	4798.5	2678	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Duplicated	NC_056704.1	7463751	7503044	+	4614.0	2551	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
892at7898	Duplicated	NC_056704.1	7527979	7571255	-	4569.5	2533	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Duplicated	NC_056709.1	13062583	13158118	+	3642.2	2257	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_056702.1	4684754	4728742	-	3593.0	2303	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_056721.1	11766277	11793780	+	3538.7	2271	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	NC_056723.1	12544870	12562016	+	3324.8	2244	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	NC_056706.1	24015580	24112661	+	4889.5	2258	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Complete	NC_056700.1	8630563	8651405	+	3706.7	1999
1220at7898	Complete	NC_056713.1	17624291	17635496	+	1659.4	1973	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Missing
