# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	SRMA01023950.1	68346	146850	-	8628.5	5004	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Missing
131at7898	Complete	SRMA01026163.1	771884	837070	-	8434.8	4280	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	SRMA01026473.1	898939	942597	-	8631.5	4059
180at7898	Complete	SRMA01027109.1	96149	307379	-	6453.6	4471	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	SRMA01025514.1	82077	105203	+	7944.8	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	SRMA01026482.1	35208	124283	-	2653.6	2256	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	SRMA01000189.1	61997	138112	-	7611.8	3500	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	SRMA01026462.1	93992	168759	-	6417.0	3634	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	SRMA01026821.1	463355	506083	+	4681.0	2353	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	SRMA01026793.1	88874	130464	-	3311.1	2569	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	SRMA01025323.1	169301	197516	+	3458.4	2606	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	SRMA01027109.1	836201	859058	+	4542.4	3491	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	SRMA01025832.1	33874	190700	+	4668.2	2441	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	SRMA01026116.1	558456	605741	+	4379.6	2690	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	SRMA01000962.1	123805	189623	-	4802.1	2573	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Complete	SRMA01026823.1	90786	155998	-	4269.1	2333	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Complete	SRMA01025251.1	182072	219969	-	4497.2	2242	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Complete	SRMA01025510.1	408860	446648	+	3786.2	2010
1220at7898	Complete	SRMA01026879.1	606514	625230	-	1517.3	2252	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	SRMA01025867.1	694048	723557	-	2911.8	1802	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1262at7898	Duplicated	SRMA01001960.1	3102	19142	-	5339.3	2244	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1262at7898	Duplicated	SRMA01026070.1	106402	121113	-	5333.2	2244	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1312at7898	Complete	SRMA01025156.1	700342	741985	+	2833.8	1840	https://www.orthodb.org/v10?query=1312at7898	Protein tyrosine phosphatase, non-receptor type 13
1329at7898	Complete	SRMA01026072.1	326818	354316	-	3437.9	2133	https://www.orthodb.org/v10?query=1329at7898	ectopic P granules protein 5 homolog
1401at7898	Complete	SRMA01027045.1	579004	612567	-	4147.7	2292	https://www.orthodb.org/v10?query=1401at7898	eIF-2-alpha kinase activator GCN1
1502at7898	Complete	SRMA01025482.1	672758	692842	-	4033.1	2042	https://www.orthodb.org/v10?query=1502at7898	E3 ubiquitin-protein ligase HECTD1 isoform X1
1539at7898	Complete	SRMA01026051.1	204390	243450	-	3228.2	1639	https://www.orthodb.org/v10?query=1539at7898	alpha-tectorin
1607at7898	Fragmented	SRMA01026152.1	124359	135460	+	1748.3	1168	https://www.orthodb.org/v10?query=1607at7898	chondroitin sulfate proteoglycan 4
1664at7898	Complete	SRMA01026255.1	10808	22205	-	3068.8	2057	https://www.orthodb.org/v10?query=1664at7898	zinc finger protein 40 isoform X1
1667at7898	Complete	SRMA01025549.1	325433	400868	+	2917.4	1587	https://www.orthodb.org/v10?query=1667at7898	dysferlin isoform X1
1697at7898	Complete	SRMA01026123.1	11814	38486	-	3221.5	1755	https://www.orthodb.org/v10?query=1697at7898	DNA polymerase epsilon catalytic subunit A
1709at7898	Complete	SRMA01027237.1	359829	374349	+	2776.6	1659	https://www.orthodb.org/v10?query=1709at7898	adenomatous polyposis coli protein 2
1867at7898	Complete	SRMA01023950.1	534954	675051	+	2822.2	1876	https://www.orthodb.org/v10?query=1867at7898	neuroblastoma-amplified sequence
1955at7898	Fragmented	SRMA01026266.1	350377	369064	-	1623.6	918	https://www.orthodb.org/v10?query=1955at7898	brefeldin A-inhibited guanine nucleotide-exchange protein 3
2212at7898	Missing
2355at7898	Complete	SRMA01025678.1	26103	86220	+	3174.3	1831	https://www.orthodb.org/v10?query=2355at7898	dedicator of cytokinesis protein 10
2390at7898	Complete	SRMA01027274.1	115431	200547	+	2597.7	1772	https://www.orthodb.org/v10?query=2390at7898	calcineurin-binding protein cabin-1 isoform X1
