# BUSCO version is: 5.2.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
64at7898	Complete	RJVU01048406.1	12932570	13024783	+	8943.5	4965	https://www.orthodb.org/v10?query=64at7898	hemicentin-1
116at7898	Complete	RJVU01020258.1	2298584	2378614	+	4951.5	4083
131at7898	Complete	RJVU01040995.1	425047	479724	-	8410.1	4315	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Complete	RJVU01018862.1	105082	143790	-	8100.7	3923
180at7898	Complete	RJVU01051648.1	14525372	14745675	-	6229.7	4190	https://www.orthodb.org/v10?query=180at7898	usherin
301at7898	Complete	RJVU01024579.1	1328109	1352784	+	8069.7	4031	https://www.orthodb.org/v10?query=301at7898	sacsin isoform X1
394at7898	Complete	RJVU01008467.1	438368	533364	-	5286.3	3286	https://www.orthodb.org/v10?query=394at7898	vacuolar protein sorting-associated protein 13B-like
408at7898	Complete	RJVU01030023.1	1445722	1538515	+	7667.8	3468	https://www.orthodb.org/v10?query=408at7898	transformation/transcription domain-associated protein
423at7898	Complete	RJVU01063374.1	2115802	2207534	-	6714.8	3662	https://www.orthodb.org/v10?query=423at7898	cytoplasmic dynein 2 heavy chain 1
433at7898	Complete	RJVU01027559.1	9475073	9523468	-	4574.6	2320	https://www.orthodb.org/v10?query=433at7898	cadherin EGF LAG seven-pass G-type receptor 3 isoform X1
594at7898	Complete	RJVU01013765.1	950993	992664	-	4122.9	2762	https://www.orthodb.org/v10?query=594at7898	protocadherin-23
707at7898	Complete	RJVU01020258.1	1753978	1783510	+	3351.2	2548	https://www.orthodb.org/v10?query=707at7898	obscurin-like isoform X1
715at7898	Complete	RJVU01042615.1	889033	909015	-	5203.7	3755	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Complete	RJVU01024579.1	954865	1140823	+	4481.8	2426	https://www.orthodb.org/v10?query=716at7898	teneurin-4 isoform X1
832at7898	Complete	RJVU01071404.1	2396541	2454185	+	4374.5	2647	https://www.orthodb.org/v10?query=832at7898	huntingtin isoform X1
892at7898	Complete	RJVU01051519.1	8446518	8511275	-	4832.6	2530	https://www.orthodb.org/v10?query=892at7898	protein unc-80 homolog
1123at7898	Complete	RJVU01079719.1	523819	605850	-	4379.9	2333	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Fragmented	RJVU01059775.1	569676	679897	+	2533.7	1213	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Complete	RJVU01000233.1	748113	781515	+	3768.4	2006
1220at7898	Complete	RJVU01059775.1	4269944	4286435	-	1689.3	2014	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Complete	RJVU01019149.1	1424899	1454587	-	2841.6	1738	https://www.orthodb.org/v10?query=1258at7898	neurogenic locus notch homolog protein 2-like
1262at7898	Complete	RJVU01057378.1	774599	789982	+	5142.2	2204	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
